[START OF SIMULATION]
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F98]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F94]{0x00000000,0x00000000,0x00000004,0x0000000A,0x00029128}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000002,R3=R3/R4=0x000041B7,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F80]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F7C]{0x00000000,0x00000000,0x00000002,0x0000000A,0x000041B7}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000003,R3=R3/R4=0x00000692,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F68]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F64]{0x00000000,0x00000000,0x00000003,0x0000000A,0x00000692}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000002,R3=R3/R4=0x000000A8,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F50]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F4C]{0x00000000,0x00000000,0x00000002,0x0000000A,0x000000A8}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000008,R3=R3/R4=0x00000010,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F38]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F34]{0x00000000,0x00000000,0x00000008,0x0000000A,0x00000010}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000006,R3=R3/R4=0x00000001,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F20]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F1C]{0x00000000,0x00000000,0x00000006,0x0000000A,0x00000001}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000001,R3=R3/R4=0x00000000,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000040
0x00000058:	beq 1                    	PC=0x00000060
0x00000060:	bgt 2                    	PC=0x00000064
0x00000064:	cmp r5,r0                	SR=0x00000000
0x00000068:	beq 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000031,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x31
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F08]{0x00000001,0x0000000A,0x00000006,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F20]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000036,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x36
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F20]{0x00000010,0x0000000A,0x00000008,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F38]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000038,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x38
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F38]{0x000000A8,0x0000000A,0x00000002,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F50]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000032,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x32
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F50]{0x00000692,0x0000000A,0x00000003,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F68]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000033,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x33
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F68]{0x000041B7,0x0000000A,0x00000002,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F80]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000032,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x32
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F80]{0x00029128,0x0000000A,0x00000004,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F98]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000034,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x34
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F98]{0x0019AB94,0x0000000A,0x00000005,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007FB0]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000035,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x35
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007FB0]{0x0100B3CD,0x0000000A,0x00000003,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007FC8]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000033,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x33
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007FC8]{0x0A070605,0x0000007D,0x00000007,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007FE0]=0x0000008C
0x0000008C:	pop r5,r3                	{R5,R3}=MEM[0x00007FE0]{0x00000007,0x00000001}
0x00000090:	ret                      	PC=MEM[0x00007FEC]=0x000000B4
0x000000B4:	mov r2,488               	R2=0x000001E8
0x000000B8:	call -39                 	PC=0x00000020,MEM[0x00007FEC]=0x000000BC
0x00000020:	push r2,r3               	MEM[0x00007FE8]{0x000001E8,0x00000001}={R2,R3}
0x00000024:	l32 r1,[r0+132]          	R1=MEM[0x00000210]=0x8888888B
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E8]=0x20
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x20
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001E9,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E9]=0x00
0x0000002C:	cmpi r3,0                	SR=0x00000040
0x00000030:	beq 3                    	PC=0x00000040
0x00000040:	pop r3,r2                	{R3,R2}=MEM[0x00007FE0]{0x00000001,0x000001E8}
0x00000044:	ret                      	PC=MEM[0x00007FEC]=0x000000BC
0x000000BC:	addi r3,r3,1             	R3=R3+0x00000001=0x00000002,SR=0x00000000
0x000000C0:	addi r4,r4,1             	R4=R4+0x00000001=0x0000007E,SR=0x00000000
0x000000C4:	bun -9                   	PC=0x000000A4
0x000000A4:	cmp r3,r5                	SR=0x00000011
0x000000A8:	beq 7                    	PC=0x000000AC
0x000000AC:	addi r2,r4,0             	R2=R4+0x00000000=0x0000007E,SR=0x00000000
0x000000B0:	call -14                 	PC=0x0000007C,MEM[0x00007FEC]=0x000000B4
0x0000007C:	push r3,r5               	MEM[0x00007FE8]{0x00000002,0x00000007}={R3,R5}
0x00000080:	l32 r1,[r0+132]          	R1=MEM[0x00000210]=0x8888888B
0x00000084:	l32 r3,[r2+0]            	R3=MEM[0x000001F8]=0x110C6784
0x00000088:	call -17                 	PC=0x00000048,MEM[0x00007FE0]=0x0000008C
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007FDC]{0x00000000,0x00000000,0x00000007,0x0000007E,0x110C6784}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000004,R3=R3/R4=0x01B470C0,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007FC8]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007FC4]{0x00000000,0x00000000,0x00000004,0x0000000A,0x01B470C0}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000000,R3=R3/R4=0x002BA4E0,SR=0x00000000
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007FB0]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007FAC]{0x00000000,0x00000000,0x00000000,0x0000000A,0x002BA4E0}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000006,R3=R3/R4=0x00045D49,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F98]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F94]{0x00000000,0x00000000,0x00000006,0x0000000A,0x00045D49}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000005,R3=R3/R4=0x00006FBA,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F80]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F7C]{0x00000000,0x00000000,0x00000005,0x0000000A,0x00006FBA}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000002,R3=R3/R4=0x00000B2C,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F68]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F64]{0x00000000,0x00000000,0x00000002,0x0000000A,0x00000B2C}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000000,R3=R3/R4=0x0000011E,SR=0x00000000
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F50]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F4C]{0x00000000,0x00000000,0x00000000,0x0000000A,0x0000011E}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000006,R3=R3/R4=0x0000001C,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F38]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F34]{0x00000000,0x00000000,0x00000006,0x0000000A,0x0000001C}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000008,R3=R3/R4=0x00000002,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F20]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F1C]{0x00000000,0x00000000,0x00000008,0x0000000A,0x00000002}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000002,R3=R3/R4=0x00000000,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000040
0x00000058:	beq 1                    	PC=0x00000060
0x00000060:	bgt 2                    	PC=0x00000064
0x00000064:	cmp r5,r0                	SR=0x00000000
0x00000068:	beq 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000032,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x32
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F08]{0x00000002,0x0000000A,0x00000008,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F20]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000038,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x38
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F20]{0x0000001C,0x0000000A,0x00000006,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F38]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000036,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x36
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F38]{0x0000011E,0x0000000A,0x00000000,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F50]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000030,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x30
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F50]{0x00000B2C,0x0000000A,0x00000002,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F68]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000032,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x32
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F68]{0x00006FBA,0x0000000A,0x00000005,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F80]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000035,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x35
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F80]{0x00045D49,0x0000000A,0x00000006,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F98]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000036,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x36
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F98]{0x002BA4E0,0x0000000A,0x00000000,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007FB0]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000030,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x30
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007FB0]{0x01B470C0,0x0000000A,0x00000004,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007FC8]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000034,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x34
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007FC8]{0x110C6784,0x0000007E,0x00000007,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007FE0]=0x0000008C
0x0000008C:	pop r5,r3                	{R5,R3}=MEM[0x00007FE0]{0x00000007,0x00000002}
0x00000090:	ret                      	PC=MEM[0x00007FEC]=0x000000B4
0x000000B4:	mov r2,488               	R2=0x000001E8
0x000000B8:	call -39                 	PC=0x00000020,MEM[0x00007FEC]=0x000000BC
0x00000020:	push r2,r3               	MEM[0x00007FE8]{0x000001E8,0x00000002}={R2,R3}
0x00000024:	l32 r1,[r0+132]          	R1=MEM[0x00000210]=0x8888888B
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E8]=0x20
0x0000002C:	cmpi r3,0                	SR=0x00000000
0x00000030:	beq 3                    	PC=0x00000034
0x00000034:	s8 [r1+0],r3             	MEM[0x8888888B]=R3=0x20
0x00000038:	addi r2,r2,1             	R2=R2+0x00000001=0x000001E9,SR=0x00000000
0x0000003C:	bun -6                   	PC=0x00000028
0x00000028:	l8 r3,[r2+0]             	R3=MEM[0x000001E9]=0x00
0x0000002C:	cmpi r3,0                	SR=0x00000040
0x00000030:	beq 3                    	PC=0x00000040
0x00000040:	pop r3,r2                	{R3,R2}=MEM[0x00007FE0]{0x00000002,0x000001E8}
0x00000044:	ret                      	PC=MEM[0x00007FEC]=0x000000BC
0x000000BC:	addi r3,r3,1             	R3=R3+0x00000001=0x00000003,SR=0x00000000
0x000000C0:	addi r4,r4,1             	R4=R4+0x00000001=0x0000007F,SR=0x00000000
0x000000C4:	bun -9                   	PC=0x000000A4
0x000000A4:	cmp r3,r5                	SR=0x00000011
0x000000A8:	beq 7                    	PC=0x000000AC
0x000000AC:	addi r2,r4,0             	R2=R4+0x00000000=0x0000007F,SR=0x00000000
0x000000B0:	call -14                 	PC=0x0000007C,MEM[0x00007FEC]=0x000000B4
0x0000007C:	push r3,r5               	MEM[0x00007FE8]{0x00000003,0x00000007}={R3,R5}
0x00000080:	l32 r1,[r0+132]          	R1=MEM[0x00000210]=0x8888888B
0x00000084:	l32 r3,[r2+0]            	R3=MEM[0x000001FC]=0x16280C1F
0x00000088:	call -17                 	PC=0x00000048,MEM[0x00007FE0]=0x0000008C
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007FDC]{0x00000000,0x00000000,0x00000007,0x0000007F,0x16280C1F}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000005,R3=R3/R4=0x02373469,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007FC8]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007FC4]{0x00000000,0x00000000,0x00000005,0x0000000A,0x02373469}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000009,R3=R3/R4=0x0038B870,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007FB0]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007FAC]{0x00000000,0x00000000,0x00000009,0x0000000A,0x0038B870}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000002,R3=R3/R4=0x0005AC0B,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F98]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F94]{0x00000000,0x00000000,0x00000002,0x0000000A,0x0005AC0B}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000003,R3=R3/R4=0x00009134,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F80]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F7C]{0x00000000,0x00000000,0x00000003,0x0000000A,0x00009134}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000002,R3=R3/R4=0x00000E85,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F68]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F64]{0x00000000,0x00000000,0x00000002,0x0000000A,0x00000E85}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000007,R3=R3/R4=0x00000173,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F50]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F4C]{0x00000000,0x00000000,0x00000007,0x0000000A,0x00000173}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000001,R3=R3/R4=0x00000025,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F38]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F34]{0x00000000,0x00000000,0x00000001,0x0000000A,0x00000025}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000007,R3=R3/R4=0x00000003,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000000
0x00000058:	beq 1                    	PC=0x0000005C
0x0000005C:	call -6                  	PC=0x00000048,MEM[0x00007F20]=0x00000060
0x00000048:	push sr,r6,r5,r4,r3      	MEM[0x00007F1C]{0x00000000,0x00000000,0x00000007,0x0000000A,0x00000003}={SR,R6,R5,R4,R3}
0x0000004C:	mov r4,10                	R4=0x0000000A
0x00000050:	div r5,r3,r3,r4          	R5=R3%R4=0x00000003,R3=R3/R4=0x00000000,SR=0x00000001
0x00000054:	cmp r3,r0                	SR=0x00000040
0x00000058:	beq 1                    	PC=0x00000060
0x00000060:	bgt 2                    	PC=0x00000064
0x00000064:	cmp r5,r0                	SR=0x00000000
0x00000068:	beq 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000033,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x33
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F08]{0x00000003,0x0000000A,0x00000007,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F20]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000037,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x37
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F20]{0x00000025,0x0000000A,0x00000001,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F38]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000031,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x31
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F38]{0x00000173,0x0000000A,0x00000007,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F50]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000037,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x37
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F50]{0x00000E85,0x0000000A,0x00000002,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F68]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000032,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x32
0x00000074:	pop r3,r4,r5,r6,sr       	{R3,R4,R5,R6,SR}=MEM[0x00007F68]{0x00009134,0x0000000A,0x00000003,0x00000000,0x00000000}
0x00000078:	ret                      	PC=MEM[0x00007F80]=0x00000060
0x00000060:	bgt 2                    	PC=0x0000006C
0x0000006C:	addi r5,r5,48            	R5=R5+0x00000030=0x00000033,SR=0x00000000
0x00000070:	s8 [r1+0],r5             	MEM[0x8888888B]=R5=0x33
